food_number,name_pt,name_en,group,current_relation,current_class,current_label,current_definition,candidates,foodon_release,decision,relation,class,certainty,justification,evidence,reviewer,reviewed_on
108,"Cebolinha, crua","Green onion (cebolinha), raw","Verduras, hortaliças e derivados",closeMatch,FOODON_03311340,scallion (raw),"A raw scallion is a scallion plant possibly with root removed and leaves trimmed SIREN DB annotation:
* whole, natural shape FOODON:03430150
* not heat-treated FOODON:03440003
* whole plant or most parts used FOODON:03420150",yellow onion (raw) (FOODON_03311276); scallion plant (FOODON_03411478); 05900 - green onions (efsa foodex2) (FOODON_03540590); scallion food product (FOODON_00002695); welsh onion (FOODON_00003172),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
15,"Bolo, pronto, aipim","Cake, ready to eat, cassava (aipim)",Cereais e derivados,relatedMatch,FOODON_00003409,cassava,A tuberous root tuber of a cassava plant (Manihot esculenta).,"convenience food (FOODON_00002429); 02550 - plain cakes (efsa foodex2) (FOODON_03540255); cake food product (FOODON_00001278); 02580 - cream cake (efsa foodex2) (FOODON_03540258); 02740 - cake marbled, with chocolate (efsa foodex2) (FOODON_03540274)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
535,"Cuxá, molho",Cuxá sauce (roselle leaf sauce),Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
151,"Repolho, roxo, refogado","Cabbage, red, sauteed","Verduras, hortaliças e derivados",relatedMatch,FOODON_03304685,red cabbage head (raw),"SIREN DB annotation:
* whole, natural shape FOODON:03430150
* not heat-treated FOODON:03440003
* head (plant) FOODON:03420151",red cabbage head (FOODON_00002922); 10005997 - red cabbages (gs1 gpc) (FOODON_03401467); 04760 - red cabbages (efsa foodex2) (FOODON_03540476); red cabbage plant (FOODON_03412072); vegetable product (eurofir) (FOODON_03400827),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
250,"Tamarindo, cru","Tamarind, raw",Frutas e derivados,closeMatch,FOODON_03309932,tamarind pod (raw),"A whole raw tamarind pod. SIREN DB annotation:
* whole, natural shape FOODON:03430150
* not heat-treated FOODON:03440003
* fruit, peel present, core, pit or seed present FOODON:03420140",tamarind juice (raw) (FOODON_03311227); tamarind plant (FOODON_03411695); tamarind pod (FOODON_00003674); 14030 - tamarind (efsa foodex2) (FOODON_03541403); river tamarind seed (FOODON_00003833),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
331,"Carne, bovina, almôndegas, fritas","Beef, meatballs, fried",Carnes e derivados,none,,,,kofta (FOODON_00003882); beef (ground) (FOODON_00001282); beef chuck roast (FOODON_02000103); ground beef patty (FOODON_03317337); beef steak (raw) (FOODON_03311663),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
516,"Sal, dietético","Salt, low sodium",Miscelâneas,none,,,,"40540 - salt, low sodium (efsa foodex2) (FOODON_03544054); salt (low sodium) (FOODON_03309467); low salt or sodium claim (FOODON_03510038); very low salt or sodium claim (FOODON_03510036); 10000050 - extracts/salt/meat tenderisers (shelf stable) (gs1 gpc) (FOODON_03401167)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
281,"Cação, posta, com farinha de trigo, frita","Shark (cação), steak, with wheat flour, fried",Pescados e frutos do mar,none,,,,shark (FOODON_03411342); bramble shark (FOODON_03414123); tope shark (FOODON_03412525); hammerhead shark (FOODON_03412598); carribean reef shark (FOODON_03413530),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
381,"Carne, bovina, picanha, com gordura, grelhada","Beef, picanha (top sirloin cap), with fat, grilled",Carnes e derivados,none,,,,beef culotte roast (FOODON_02000159); beef culotte steak (FOODON_02000157); beef top sirloin steak (FOODON_02000149); beef (ground) (FOODON_00001282); beef chuck roast (FOODON_02000103),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
483,"Refrigerante, tipo limão","Soft drink, lemon",Bebidas (alcoólicas e não alcoólicas),relatedMatch,FOODON_03400843,soft drink (eurofir),"Includes carbonated soft drinks (e.g. soda water, carbonated lemonade, cola, tonic), non-dilution still drinks (e.g. still lemonade), dilution drinks (concentrates which are diluted with water prior to consumption , e.g. rosehip syrup, fruit squash, lime cordial).","33090 - soft drink, lemon flavour (efsa foodex2) (FOODON_03543309); 32800 - soft drink, with fruit juice (fruit content below the minimum for nectars) (efsa foodex2) (FOODON_03543280); soft drink (FOODON_03310815); 32960 - fruit soft drink, plum (efsa foodex2) (FOODON_03543296); 32970 - fruit soft drink, pomegranate (efsa foodex2) (FOODON_03543297)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
555,Virado à paulista,"Virado à paulista (beans with corn flour, pork and egg)",Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
549,Tabule,Tabbouleh,Alimentos preparados,type,FOODON_00003242,tabbouleh,"A Levantine vegetarian salad made mostly of finely chopped parsley, with tomatoes, mint, onion, bulgur (soaked, not cooked), and seasoned with olive oil, lemon juice, salt and pepper. Some variations add garlic or lettuce, or use couscous instead of bulgur.",,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
570,"Feijão, rajado, cru","Bean, rajado (speckled), raw",Leguminosas e derivados,type,FOODON_03000089,pinto bean (raw),A whole raw pinto bean.,bean (FOODON_00002753); winged bean (FOODON_03310299); dry bean food product (FOODON_00001201); winged bean plant (FOODON_03411726); cranberry bean material (FOODON_00002750),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
386,"Coxinha de frango, frita","Coxinha (chicken croquette), fried",Carnes e derivados,type,FOODON_03305354,chicken croquette,"SIREN DB annotation:
* whole, shape achieved by forming FOODON:03430147
* skeletal meat part, without bone, without skin FOODON:03420268
* breaded or batter-coated FOODON:03460188
* fat or oil coated FOODON:03460233",,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
211,"Laranja, da terra, suco","Orange, sour (da terra), juice",Frutas e derivados,none,,,,australian sunrise lime plant (FOODON_03414306); sour orange plant (FOODON_03411193); 14400 - bitter oranges (efsa foodex2) (FOODON_03541440); seville orange (FOODON_00003747); 35860 - bitter orange infusion flowers (efsa foodex2) (FOODON_03543586),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
562,"Feijão, carioca, cru","Bean, carioca, raw",Leguminosas e derivados,type,FOODON_03000089,pinto bean (raw),A whole raw pinto bean.,bean (FOODON_00002753); winged bean (FOODON_03310299); dry bean food product (FOODON_00001201); winged bean plant (FOODON_03411726); cranberry bean material (FOODON_00002750),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
512,"Capuccino, pó","Cappuccino, powder",Miscelâneas,relatedMatch,FOODON_03303096,cappuccino,"SIREN DB annotation:
* liquid, low viscosity, with no visible particles FOODON:03430123
* fully heat-treated FOODON:03440014
* seed, skin removed, germ present FOODON:03420132
* roasting seed process FOODON:03460391
* ingredient: sucrose added FOODON:03460158
* ingredient: dairy product added FOODON:03460242","37090 - coffee drink, cappuccino (efsa foodex2) (FOODON_03543709); 42200 - cappuccino flavour (efsa foodex2) (FOODON_03544220)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
284,"Camarão, Rio Grande, grande, cozido","Shrimp, Rio Grande, large, cooked",Pescados e frutos do mar,none,,,,shrimp (FOODON_03411237); whiteleg shrimp (FOODON_03412234); pandalid shrimp family (FOODON_03411119); grass shrimp (FOODON_03412480); northern white shrimp (FOODON_03411149),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
167,"Açaí, polpa, com xarope de guaraná e glucose","Açaí, pulp, with guaraná syrup and glucose",Frutas e derivados,relatedMatch,FOODON_03401427,10006759 - acai berries (gs1 gpc),"Includes any product that can be described/observed as a fresh commercial variety of Acai berries, grown from Euterpe oleracea, to be supplied fresh. LanguaL curation note: Index geographical origin in facet R.",16430 - açaí berries (efsa foodex2) (FOODON_03541643); assai palm plant (FOODON_03414592); 05690 - cabbage palm heart (efsa foodex2) (FOODON_03540569); heart of palm (FOODON_00003141),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
251,"Tangerina, Poncã, crua","Tangerine, Ponkan, raw",Frutas e derivados,type,FOODON_03303080,tangerine (raw),"SIREN DB annotation:
* whole, natural shape FOODON:03430150
* not heat-treated FOODON:03440003
* fruit, peel present, core, pit or seed present FOODON:03420140",italian tangerine plant (FOODON_03414216); tangerine (FOODON_00003488); tangerine plant (FOODON_03414217); 14630 - tangerines (efsa foodex2) (FOODON_03541463); 10005888 - tangerines (gs1 gpc) (FOODON_03401512),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
546,"Salada, de legumes, cozida no vapor","Salad, vegetables, steamed",Alimentos preparados,type,FOODON_03307615,vegetable (steamed),"SIREN DB annotation:
* solid FOODON:03430151
* fully heat-treated FOODON:03440014
* part of plant FOODON:03420174
* cooking in steam FOODON:03450021","40220 - mixed vegetable salad (efsa foodex2) (FOODON_03544022); vegetable salad (FOODON_03307695); vegetable salad food product (FOODON_00002334); vegetable salad mix (pre-cut, raw) (FOODON_03304718); salad vegetable (packaged, refrigerated) (FOODON_03307702)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
486,"Ovo, de galinha, clara, cozida/10minutos","Egg, chicken, white, boiled 10 minutes",Ovos e derivados,none,,,,chicken egg (cooked) (FOODON_00005341); chicken egg (FOODON_03316061); chicken egg white (FOODON_02020155); chicken egg food product (FOODON_00001275); chicken egg yolk (FOODON_02020157),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
541,"Frango, com açafrão",Chicken with turmeric (frango com açafrão),Alimentos preparados,none,,,,chicken curry (FOODON_00003260),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
571,"Feijão, rosinha, cozido","Bean, rosinha (pink), cooked",Leguminosas e derivados,relatedMatch,FOODON_03311570,"pink bean (cooked, canned)","SIREN DB annotation:
* surrounded by 'can, bottle or jar' FOODON:03490194
* whole, natural shape FOODON:03430150
* fully heat-treated FOODON:03440014
* seed, skin present, germ present FOODON:03420133
* sterilization by heating FOODON:03470123","pink bean (FOODON_03310060); pink bean (mature) (FOODON_00005266); pink bean (raw) (FOODON_03000090); pink bean (raw, mature) (FOODON_03000192); pink bean food product (FOODON_00002768)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
502,"Geléia, mocotó, natural","Jelly, mocotó (calf's foot), plain",Produtos açucarados,relatedMatch,FOODON_03305342,gelatin dessert,"SIREN DB annotation:
* fully heat-treated FOODON:03440014
* sugar FOODON:03420108
* acidified FOODON:03460200
* ingredient: flavoring or taste ingredient added FOODON:03460117
* ingredient: gelatin added FOODON:03460165",fruit jelly (us cfr) (FOODON_03400209); food (jellied) (FOODON_03000701); mint jelly (FOODON_03305875); fruit jelly (artificially sweetened) (FOODON_03316781); 18280 - fruit jelly (efsa foodex2) (FOODON_03541828),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
513,"Fermento em pó, químico",Baking powder,Miscelâneas,type,FOODON_03301940,baking powder,"SIREN DB annotation:
* finely ground FOODON:03430106",chemical leavening agent addition (FOODON_03460351); 44460 - preparations for raising and flavouring home-made bakery (efsa foodex2) (FOODON_03544446); biscuit (quick bread) (FOODON_03301884); scone (FOODON_00002465); 02080 - waffle dough/mixture (efsa foodex2) (FOODON_03540208),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
162,"Vagem, crua","Green beans (vagem), raw","Verduras, hortaliças e derivados",closeMatch,FOODON_00004236,green bean pod (raw),A whole raw green bean pod.,"green bean pod (raw, mature) (FOODON_03000212); green bean (cut, raw) (FOODON_03302065); green bean (whole pod or pieces) (FOODON_00002766); green bean pod (FOODON_03305806); green bean puree (FOODON_00005443)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
454,"Leite, de cabra","Milk, goat",Leite e derivados,type,FOODON_02021057,goat milk,Milk which is produced by goat lactation.,"27000 - yoghurt, goat milk (efsa foodex2) (FOODON_03542700); 27020 - yoghurt, goat milk, flavoured (efsa foodex2) (FOODON_03542702); 27010 - yoghurt, goat milk, plain (efsa foodex2) (FOODON_03542701); ice milk made from goat milk (FOODON_03305793); goat milk curd (FOODON_00004495)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
531,Camarão à baiana,Camarão à baiana (Bahian shrimp stew),Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
390,"Empada, de frango, pré-cozida","Empada (chicken pie), precooked",Carnes e derivados,type,FOODON_03307577,chicken pie,"SIREN DB annotation:
* whole, shape achieved by forming, thickness 1.5-7 cm. FOODON:03430105
* broth or stock FOODON:03420170
* food filling process FOODON:03460207
* ingredient: grain added FOODON:03460152
* ingredient: flavoring, spice or herb added FOODON:03460227",,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
552,"Tucupi, com pimenta-de-cheiro","Tucupi (cassava broth), with pimenta-de-cheiro",Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
471,"Café, infusão 10%","Coffee, infusion 10%",Bebidas (alcoólicas e não alcoólicas),type,FOODON_00001244,coffee beverage,"A brewed drink prepared from roasted seeds, commonly called coffee beans, of the coffee plant.","arabica coffee plant (FOODON_03411305); 34060 - coffee beans, green (efsa foodex2) (FOODON_03543406); 34090 - robusta coffee beans (efsa foodex2) (FOODON_03543409); 37070 - coffee beverage decaffeinated (efsa foodex2) (FOODON_03543707); coffee-type beverage base (caffeine-free) (FOODON_03302662)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
550,Tacacá,Tacacá (tucupi soup with shrimp and jambu),Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
240,"Nêspera, crua","Loquat, raw",Frutas e derivados,type,FOODON_00003181,loquat (raw),"SIREN DB annotation:
* solid FOODON:03430151
* not heat-treated FOODON:03440003
* fruit part FOODON:03420167",loquat (FOODON_00003672); loquat plant (FOODON_03411244); loquat food product (FOODON_03309756); 14870 - loquats and similar- (efsa foodex2) (FOODON_03541487); 14880 - loquats (efsa foodex2) (FOODON_03541488),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
530,Bolinho de arroz,Rice fritter (bolinho de arroz),Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
171,"Ameixa, calda, enlatada","Plum, canned in syrup",Frutas e derivados,relatedMatch,FOODON_03306026,plum nectar (canned),"SIREN DB annotation:
* surrounded by 'can, bottle or jar' FOODON:03490194
* liquid, high viscosity, with small particles FOODON:03430121
* fully heat-treated FOODON:03440014
* fruit, peel present, core, pit or seed present FOODON:03420140
* sterilization by heating FOODON:03470123
* ingredient: sugar or sugar syrup added FOODON:03460136
* ingredient: water addition process FOODON:03460148",greengage plum (candied) (FOODON_03309487); plum (FOODON_00003483); american plum plant (FOODON_03412670); governor's plum plant (FOODON_03412789); 16890 - hog plums (efsa foodex2) (FOODON_03541689),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
473,"Cana, caldo de",Sugarcane juice,Bebidas (alcoólicas e não alcoólicas),none,,,,fermenting sugar cane juice (FOODON_00001004),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
425,"Peru, congelado, assado","Turkey, frozen, roasted",Carnes e derivados,type,FOODON_03307670,turkey roast,"A retail cut of meat from a turkey that is of a size for slicing into more than one portion and is suitable for roasting. SIREN DB annotation:
* whole, shape achieved by forming, thickness bigger than 7 cm. FOODON:03430146
* meat color, mixture FOODON:03530054
* skeletal meat part, without bone, with skin FOODON:03420267","turkey roast (boneless, seasoned, fresh frozen) (FOODON_02020636); turkey (frozen) (FOODON_03304545); piece(s) of turkey meat (frozen) (FOODON_02020583); turkey dinner (frozen) (FOODON_03303938); turkey (stuffed, frozen) (FOODON_03307078)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
102,"Cará, cozido","Yam (cará), cooked","Verduras, hortaliças e derivados",none,,,,long yam plant (FOODON_03414718); yam (FOODON_00003448); 09780 - yams (efsa foodex2) (FOODON_03540978); mountain yam (FOODON_00003082); jicama plant (FOODON_03411738),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
293,"Corvina grande, assada","Croaker, large, baked",Pescados e frutos do mar,closeMatch,FOODON_03411794,croaker,,23800 - large yellow croaker (efsa foodex2) (FOODON_03542380); croceine croaker (FOODON_03413914); Larimichthys crocea (NCBITaxon_215358); yellow croaker (FOODON_03412487); atlantic croaker (FOODON_03411795),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
426,"Peru, congelado, cru","Turkey, frozen, raw",Carnes e derivados,type,FOODON_03307208,turkey meat (raw),"Raw turkey is a general term for a whole raw turkey or any portion of meat (which may include bone) taken from a turkey. SIREN DB annotation:
* solid FOODON:03430151
* not heat-treated FOODON:03440003
* meat color, mixture FOODON:03530054
* skeletal meat part, with bone, with skin FOODON:03420265","turkey (frozen) (FOODON_03304545); piece(s) of turkey meat (frozen) (FOODON_02020583); turkey dinner (frozen) (FOODON_03303938); turkey (stuffed, frozen) (FOODON_03307078); turkey roast (boneless, seasoned, fresh frozen) (FOODON_02020636)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
472,"Cana, aguardente",Sugarcane spirit (cachaça),Bebidas (alcoólicas e não alcoólicas),relatedMatch,FOODON_03301614,rum,"SIREN DB annotation:
* liquid, low viscosity, with no visible particles FOODON:03430123
* fully heat-treated FOODON:03440014
* molasses CHEBI:83163
* alcohol fermentation process FOODON:03460232",,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
526,Arroz carreteiro,Arroz carreteiro (rice with charque),Alimentos preparados,relatedMatch,FOODON_03307154,rice (flavored with beef extract),"SIREN DB annotation:
* whole, natural shape FOODON:03430150
* seed, skin removed, germ removed (endosperm) FOODON:03420208
* ingredient: flavoring or spice extract or concentrate added FOODON:03460100",,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
270,"Óleo, de milho","Oil, corn",Gorduras e óleos,type,FOODON_03301474,corn oil,"SIREN DB annotation:
* liquid, high viscosity, with no visible particles FOODON:03430139
* partially heat-treated FOODON:03440018
* fat or oil FOODON:03420190","hydrogenated corn oil (FOODON_00002854); corn oil spread (reduced calorie) (FOODON_03303843); corn oil margarine (FOODON_03306261); potato peeling (cooked in corn oil) (FOODON_03307538); 31010 - maize oil, edible (efsa foodex2) (FOODON_03543101)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
532,"Charuto, de repolho",Cabbage roll (charuto de repolho),Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
538,Estrogonofe de frango,Chicken stroganoff,Alimentos preparados,relatedMatch,FOODON_03302094,beef stroganoff with noodles,"SIREN DB annotation:
* semisolid with solid pieces FOODON:03430134
* fully heat-treated FOODON:03440014
* seed, skin removed, germ removed (endosperm) FOODON:03420208
* alcoholated FOODON:03460160
* ingredient: flavoring, spice or herb added FOODON:03460227
* ingredient: dairy product added FOODON:03460242
* packed in gravy or sauce, dairy or egg component FOODON:03480033",,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
525,Acarajé,Acarajé (black-eyed pea fritter),Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
494,"Açúcar, refinado","Sugar, refined",Produtos açucarados,type,FOODON_03307345,sugar (refined),"SIREN DB annotation:
* crystal FOODON:03430143
* fully heat-treated FOODON:03440014
* white sugar FOODON:03420157",29870 - refined cane sugar (efsa foodex2) (FOODON_03542987); 29860 - refined beet sugar (efsa foodex2) (FOODON_03542986); sugar cane refined or partially-refined food product (FOODON_00002290); sugar (not fully refined) (FOODON_03316409); white sugar (FOODON_03420157),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
586,"Tremoço, em conserva","Lupin (tremoço), pickled",Leguminosas e derivados,none,,,,white lupine bean (FOODON_00003757); 10580 - lupins (without pods) (efsa foodex2) (FOODON_03541058); 11040 - lupins (dry) (efsa foodex2) (FOODON_03541104); 11080 - andean lupin (dry) (efsa foodex2) (FOODON_03541108); 10620 - andean lupin (without pods) (efsa foodex2) (FOODON_03541062),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
553,Vaca atolada,Vaca atolada (beef ribs with cassava),Alimentos preparados,relatedMatch,FOODON_03304779,beef stew,"SIREN DB annotation:
* semisolid with solid pieces FOODON:03430134
* skeletal meat part, without bone, without skin FOODON:03420268
* ingredient: flavoring, spice or herb added FOODON:03460227
* packed in gravy or sauce, meat FOODON:03480036",,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
417,"Hambúrguer, bovino, grelhado","Hamburger patty, beef, grilled",Carnes e derivados,relatedMatch,FOODON_00002737,beef hamburger (dish),"A hamburger (short: burger) is a sandwich consisting of one or more cooked patties of ground meat, usually beef, placed inside a sliced bread roll or bun. The patty may be pan fried, grilled, or flame broiled.","ground beef patty (FOODON_03317337); imitation hamburger patty (FOODON_03302716); hamburger patty (precooked, in a roll, frozen) (FOODON_03305567); hamburger patty (raw, with cheese spread on bun, frozen) (FOODON_03307844); 38570 - meat burger (no sandwich) (efsa foodex2) (FOODON_03543857)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
99,"Biscoito, polvilho doce","Biscuit, sweet cassava starch (polvilho doce)","Verduras, hortaliças e derivados",none,,,,"biscuit (hard) food product (FOODON_00002466); biscuit (quick bread) (FOODON_03301884); 02400 - biscuits, chocolate (efsa foodex2) (FOODON_03540240); dog biscuit (FOODON_03303582); cracker (FOODON_00002711)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
439,"Presunto, sem capa de gordura","Ham, without fat cap",Carnes e derivados,relatedMatch,FOODON_00003149,Canadian bacon,"The American name for a form of back bacon that is cured, smoked and fully cooked, trimmed into cylindrical medallions, and thickly sliced. ""Canadian"" bacon is made only from the lean eye of the loin and is ready to eat. Its flavor is described as more ham-like than other types because of its lean cut.","ham (FOODON_00005591); blackeyed peas with ham (ham fat, and ham broth) (FOODON_03307314); 22090 - luncheon spiced ham-type tinned meat (efsa foodex2) (FOODON_03542209); smalleye hammerhead (FOODON_03412596); witch-hazel plant (FOODON_03415086)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
575,"Grão-de-bico, cru","Chickpea, raw",Leguminosas e derivados,type,FOODON_03000123,chickpea (raw),A whole raw chickpea.,"chickpea (raw, mature) (FOODON_03000206); chickpea (FOODON_03306811); chickpea plant (FOODON_00002918); chickpea (mature) (FOODON_00005264); 10006271 - chickpeas (gs1 gpc) (FOODON_03401484)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
539,Feijão tropeiro mineiro,"Feijão tropeiro mineiro (red beans, cassava flour, egg and pork)",Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
279,"Bacalhau, salgado, cru","Cod, salted (bacalhau), raw",Pescados e frutos do mar,none,,,,"26180 - salted cod (efsa foodex2) (FOODON_03542618); codfish (salted) (FOODON_03307021); salt substitute (codex) (FOODON_03400439); brown salt: nutrient, dietary supplement (codex) (FOODON_03400379); 01690 - pretzels (efsa foodex2) (FOODON_03540169)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
547,"Salpicão, de frango",Salpicão (chicken salad),Alimentos preparados,type,FOODON_03306092,chicken salad,"A salad with chicken meat as a defining ingredient. SIREN DB annotation:
* semisolid with solid pieces FOODON:03430134
* fully heat-treated FOODON:03440014
* meat color, undesignated or unknown (deprecated) FOODON:03530003
* skeletal meat part, without bone, without skin FOODON:03420268
* ingredient: spice or herb added FOODON:03460151
* ingredient: fat or oil added FOODON:03460221",,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
285,"Camarão, Rio Grande, grande, cru","Shrimp, Rio Grande, large, raw",Pescados e frutos do mar,none,,,,shrimp (FOODON_03411237); whiteleg shrimp (FOODON_03412234); pandalid shrimp family (FOODON_03411119); grass shrimp (FOODON_03412480); northern white shrimp (FOODON_03411149),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
556,Yakisoba,Yakisoba,Alimentos preparados,relatedMatch,FOODON_00002953,chow mein,Chow mein is a dish containing Chinese stir-fried noodles with vegetables and sometimes meat or tofu; the name is a romanization of the Taishanese chāu-mèing.,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
378,"Carne, bovina, peito, sem gordura, cozido","Beef, brisket (peito), fat trimmed, cooked",Carnes e derivados,relatedMatch,FOODON_03303432,beef brisket (pit barbeque cooked),"SIREN DB annotation:
* whole, natural shape FOODON:03430150
* fully heat-treated FOODON:03440014
* brisket FOODON:03530020
* skeletal meat part, without bone, without skin FOODON:03420268
* broiling or grilling FOODON:03450006",beef brisket (FOODON_02000189); beef brisket flat half (FOODON_02000191); beef brisket (raw) (FOODON_02000190); beef brisket flat half (raw) (FOODON_02000192); beef brisket flat half (boneless) (FOODON_02000193),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
432,"Porco, lombo, assado","Pork, loin, roasted",Carnes e derivados,type,FOODON_00005406,pork loin center roast,"A roast derived from the Loin Center Cut. The name originates from its anatomical location in the ""Center"" section of the loin. The cut location is between the Blade and Sirloin section of the Loin.
Characteristics: Pork, Bone-In",pork loin blade roast (raw) (FOODON_02000293); pork loin blade roast (FOODON_02000292); New York roast (boneless) (FOODON_02000309); pork sirloin roast (FOODON_02000304); pork blade roast (FOODON_00005411),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
63,"Torrada, pão francês","Toast, French roll",Cereais e derivados,type,FOODON_03306255,toast,"A cut piece of bread which has been toasted. SIREN DB annotation:
* sliced, thick, between 0.5 and 1.5 cm. FOODON:03430124
* fully heat-treated FOODON:03440014
* seed (anatomical part) FOODON:03420155
* food toasting process FOODON:03450010
* water removal process FOODON:03460138
* carbohydrate fermentation process FOODON:03460256",food (toasted) (FOODON_00002659); toasted (FOODON_03000565); melba toast (unsalted) (FOODON_03304503); melba toast (FOODON_03305348); zwieback toast (FOODON_03307449),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
