food_number,name_pt,name_en,status,note
383,"Carne, bovina, picanha, sem gordura, grelhada","Beef, picanha (top sirloin cap), fat trimmed, grilled",draft,
384,"Carne, bovina, seca, cozida","Beef, carne seca (salted dried beef), cooked",draft,
385,"Carne, bovina, seca, crua","Beef, carne seca (salted dried beef), raw",draft,
386,"Coxinha de frango, frita","Coxinha (chicken croquette), fried",draft,
387,"Croquete, de carne, cru","Croquette, beef, raw",draft,
388,"Croquete, de carne, frito","Croquette, beef, fried",draft,
389,"Empada de frango, pré-cozida, assada","Empada (chicken pie), precooked, baked",draft,
390,"Empada, de frango, pré-cozida","Empada (chicken pie), precooked",draft,
391,"Frango, asa, com pele, crua","Chicken, wing, with skin, raw",draft,
392,"Frango, caipira, inteiro, com pele, cozido","Chicken, free range (caipira), whole, with skin, cooked",draft,
393,"Frango, caipira, inteiro, sem pele, cozido","Chicken, free range (caipira), whole, skinless, cooked",draft,
394,"Frango, coração, cru","Chicken, heart, raw",draft,
395,"Frango, coração, grelhado","Chicken, heart, grilled",draft,
396,"Frango, coxa, com pele, assada","Chicken, drumstick, with skin, roasted",draft,
397,"Frango, coxa, com pele, crua","Chicken, drumstick, with skin, raw",draft,
398,"Frango, coxa, sem pele, cozida","Chicken, drumstick, skinless, cooked",draft,
399,"Frango, coxa, sem pele, crua","Chicken, drumstick, skinless, raw",draft,
400,"Frango, fígado, cru","Chicken, liver, raw",draft,
401,"Frango, filé, à milanesa","Chicken, fillet, breaded and fried (milanesa)",draft,
402,"Frango, inteiro, com pele, cru","Chicken, whole, with skin, raw",draft,
403,"Frango, inteiro, sem pele, assado","Chicken, whole, skinless, roasted",draft,
404,"Frango, inteiro, sem pele, cozido","Chicken, whole, skinless, cooked",draft,
405,"Frango, inteiro, sem pele, cru","Chicken, whole, skinless, raw",draft,
406,"Frango, peito, com pele, assado","Chicken, breast, with skin, roasted",draft,
407,"Frango, peito, com pele, cru","Chicken, breast, with skin, raw",draft,
408,"Frango, peito, sem pele, cozido","Chicken, breast, skinless, cooked",draft,
409,"Frango, peito, sem pele, cru","Chicken, breast, skinless, raw",draft,
410,"Frango, peito, sem pele, grelhado","Chicken, breast, skinless, grilled",draft,
411,"Frango, sobrecoxa, com pele, assada","Chicken, thigh, with skin, roasted",draft,
412,"Frango, sobrecoxa, com pele, crua","Chicken, thigh, with skin, raw",draft,
413,"Frango, sobrecoxa, sem pele, assada","Chicken, thigh, skinless, roasted",draft,
414,"Frango, sobrecoxa, sem pele, crua","Chicken, thigh, skinless, raw",draft,
415,"Hambúrguer, bovino, cru","Hamburger patty, beef, raw",draft,
416,"Hambúrguer, bovino, frito","Hamburger patty, beef, fried",draft,
417,"Hambúrguer, bovino, grelhado","Hamburger patty, beef, grilled",draft,
418,"Lingüiça, frango, crua","Sausage (linguiça), chicken, raw",draft,
419,"Lingüiça, frango, frita","Sausage (linguiça), chicken, fried",draft,
420,"Lingüiça, frango, grelhada","Sausage (linguiça), chicken, grilled",draft,
421,"Lingüiça, porco, crua","Sausage (linguiça), pork, raw",draft,
422,"Lingüiça, porco, frita","Sausage (linguiça), pork, fried",draft,
423,"Lingüiça, porco, grelhada","Sausage (linguiça), pork, grilled",draft,
424,Mortadela,Mortadella,draft,
425,"Peru, congelado, assado","Turkey, frozen, roasted",draft,
426,"Peru, congelado, cru","Turkey, frozen, raw",draft,
427,"Porco, bisteca, crua","Pork, chop (bisteca), raw",draft,
428,"Porco, bisteca, frita","Pork, chop (bisteca), fried",draft,
429,"Porco, bisteca, grelhada","Pork, chop (bisteca), grilled",draft,
430,"Porco, costela, assada","Pork, ribs, roasted",draft,
431,"Porco, costela, crua","Pork, ribs, raw",draft,
432,"Porco, lombo, assado","Pork, loin, roasted",draft,
433,"Porco, lombo, cru","Pork, loin, raw",draft,
434,"Porco, orelha, salgada, crua","Pork, ear, salted, raw",draft,
435,"Porco, pernil, assado","Pork, leg (pernil), roasted",draft,
436,"Porco, pernil, cru","Pork, leg (pernil), raw",draft,
437,"Porco, rabo, salgado, cru","Pork, tail, salted, raw",draft,
438,"Presunto, com capa de gordura","Ham, with fat cap",draft,
439,"Presunto, sem capa de gordura","Ham, without fat cap",draft,
440,"Quibe, assado","Kibbeh (quibe), baked",draft,
441,"Quibe, cru","Kibbeh (quibe), raw",draft,
442,"Quibe, frito","Kibbeh (quibe), fried",draft,
443,Salame,Salami,draft,
444,"Toucinho, cru","Pork fatback (toucinho), raw",draft,
445,"Toucinho, frito","Pork fatback (toucinho), fried",draft,
446,"Bebida láctea, pêssego","Dairy drink, peach",draft,
447,Creme de Leite,Cream (creme de leite),draft,
448,"Iogurte, natural","Yogurt, plain",draft,
449,"Iogurte, natural, desnatado","Yogurt, plain, skimmed",draft,
450,"Iogurte, sabor abacaxi","Yogurt, pineapple flavoured",draft,
451,"Iogurte, sabor morango","Yogurt, strawberry flavoured",draft,
452,"Iogurte, sabor pêssego","Yogurt, peach flavoured",draft,
453,"Leite, condensado","Milk, sweetened condensed",draft,
454,"Leite, de cabra","Milk, goat",draft,
455,"Leite, de vaca, achocolatado","Milk, cow, chocolate flavoured",draft,
456,"Leite, de vaca, desnatado, pó","Milk, cow, skimmed, powder",draft,
457,"Leite, de vaca, desnatado, UHT","Milk, cow, skimmed, UHT",draft,
458,"Leite, de vaca, integral","Milk, cow, whole",draft,
459,"Leite, de vaca, integral, pó","Milk, cow, whole, powder",draft,
460,"Leite, fermentado","Milk, fermented",draft,
461,"Queijo, minas, frescal","Cheese, minas, fresh (frescal)",draft,
462,"Queijo, minas, meia cura","Cheese, minas, semi-cured (meia cura)",draft,
463,"Queijo, mozarela","Cheese, mozzarella",draft,
464,"Queijo, parmesão","Cheese, parmesan",draft,
465,"Queijo, pasteurizado","Cheese, processed",draft,
466,"Queijo, petit suisse, morango","Cheese, petit suisse, strawberry",draft,
467,"Queijo, prato","Cheese, prato",draft,"a Brazilian semi-hard cheese, similar to Gouda"
468,"Queijo, requeijão, cremoso","Cheese, requeijão, creamy",draft,a Brazilian spreadable cheese made from curd and cream
469,"Queijo, ricota","Cheese, ricotta",draft,
470,"Bebida isotônica, sabores variados","Sports drink, assorted flavours",draft,
471,"Café, infusão 10%","Coffee, infusion 10%",draft,
472,"Cana, aguardente",Sugarcane spirit (cachaça),draft,TACO calls it aguardente de cana
473,"Cana, caldo de",Sugarcane juice,draft,
474,"Cerveja, pilsen","Beer, pilsner",draft,
475,"Chá, erva-doce, infusão 5%","Tea, fennel, infusion 5%",draft,
476,"Chá, mate, infusão 5%","Tea, mate, infusion 5%",draft,
477,"Chá, preto, infusão 5%","Tea, black, infusion 5%",draft,
478,"Coco, água de",Coconut water,draft,
479,"Refrigerante, tipo água tônica","Soft drink, tonic water",draft,
480,"Refrigerante, tipo cola","Soft drink, cola",draft,
481,"Refrigerante, tipo guaraná","Soft drink, guaraná",draft,
482,"Refrigerante, tipo laranja","Soft drink, orange",draft,
483,"Refrigerante, tipo limão","Soft drink, lemon",draft,
484,"Omelete, de queijo","Omelette, cheese",draft,
485,"Ovo, de codorna, inteiro, cru","Egg, quail, whole, raw",draft,
486,"Ovo, de galinha, clara, cozida/10minutos","Egg, chicken, white, boiled 10 minutes",draft,
487,"Ovo, de galinha, gema, cozida/10minutos","Egg, chicken, yolk, boiled 10 minutes",draft,
488,"Ovo, de galinha, inteiro, cozido/10minutos","Egg, chicken, whole, boiled 10 minutes",draft,
489,"Ovo, de galinha, inteiro, cru","Egg, chicken, whole, raw",draft,
490,"Ovo, de galinha, inteiro, frito","Egg, chicken, whole, fried",draft,
491,"Achocolatado, pó","Chocolate drink mix, powder",draft,
492,"Açúcar, cristal","Sugar, crystal",draft,
493,"Açúcar, mascavo","Sugar, muscovado (mascavo)",draft,
494,"Açúcar, refinado","Sugar, refined",draft,
495,"Chocolate, ao leite","Chocolate, milk",draft,
496,"Chocolate, ao leite, com castanha do Pará","Chocolate, milk, with Brazil nuts",draft,
497,"Chocolate, ao leite, dietético","Chocolate, milk, diet",draft,
498,"Chocolate, meio amargo","Chocolate, semisweet",draft,
499,Cocada branca,"Cocada, white (coconut candy)",draft,
500,"Doce, de abóbora, cremoso","Pumpkin sweet, creamy (doce de abóbora)",draft,
501,"Doce, de leite, cremoso","Dulce de leche, creamy (doce de leite)",draft,
502,"Geléia, mocotó, natural","Jelly, mocotó (calf's foot), plain",draft,
503,Glicose de milho,Corn syrup (glucose),draft,
504,Maria mole,Maria mole (coconut marshmallow),draft,
505,"Maria mole, coco queimado","Maria mole (coconut marshmallow), burnt coconut",draft,
506,Marmelada,Quince paste (marmelada),draft,
507,"Mel, de abelha",Honey,draft,
508,Melado,Sugarcane syrup (melado),draft,
509,Quindim,Quindim (egg yolk and coconut custard),draft,
510,Rapadura,Rapadura (unrefined cane sugar block),draft,
511,"Café, pó, torrado","Coffee, ground, roasted",draft,
512,"Capuccino, pó","Cappuccino, powder",draft,
513,"Fermento em pó, químico",Baking powder,draft,
514,"Fermento, biológico, levedura, tablete","Yeast, baker's, compressed",draft,
515,"Gelatina, sabores variados, pó","Gelatin, assorted flavours, powder",draft,
516,"Sal, dietético","Salt, low sodium",draft,
517,"Sal, grosso","Salt, coarse",draft,
518,Shoyu,Soy sauce (shoyu),draft,
519,Tempero a base de sal,Salt-based seasoning,draft,
520,"Azeitona, preta, conserva","Olive, black, preserved",draft,
521,"Azeitona, verde, conserva","Olive, green, preserved",draft,
522,"Chantilly, spray, com gordura vegetal","Whipped cream (chantilly), spray, with vegetable fat",draft,
523,"Leite, de coco",Coconut milk,draft,
524,"Maionese, tradicional com ovos","Mayonnaise, traditional, with eggs",draft,
525,Acarajé,Acarajé (black-eyed pea fritter),draft,
526,Arroz carreteiro,Arroz carreteiro (rice with charque),draft,
527,"Baião de dois, arroz e feijão-de-corda","Baião de dois (rice, cowpeas, fatback and coalho cheese)",draft,TACO protocol p. 110
528,Barreado,Barreado (slow-cooked beef stew),draft,
529,"Bife à cavalo, com contra filé","Bife à cavalo (steak with fried egg), striploin",draft,
530,Bolinho de arroz,Rice fritter (bolinho de arroz),draft,
531,Camarão à baiana,Camarão à baiana (Bahian shrimp stew),draft,
532,"Charuto, de repolho",Cabbage roll (charuto de repolho),draft,
533,"Cuscuz, de milho, cozido com sal","Cuscuz, corn, cooked with salt",draft,TACO protocol p. 122: cooked in a saucepan with stirring; steaming is not specified
534,"Cuscuz, paulista",Cuscuz paulista (São Paulo corn couscous),draft,"TACO protocol p. 123: with sardines, boiled eggs and peas"
535,"Cuxá, molho",Cuxá sauce (roselle leaf sauce),draft,
536,Dobradinha,"Dobradinha (beef tripe), boiled",draft,"TACO protocol p. 124: tripe boiled in water, nothing added"
537,Estrogonofe de carne,Beef stroganoff,draft,
538,Estrogonofe de frango,Chicken stroganoff,draft,
539,Feijão tropeiro mineiro,"Feijão tropeiro mineiro (red beans, cassava flour, egg and pork)",draft,TACO protocol p. 128: red beans (feijão roxo)
540,Feijoada,Feijoada (black bean and pork stew),draft,
541,"Frango, com açafrão",Chicken with turmeric (frango com açafrão),draft,"açafrão here is turmeric (açafrão-da-terra), not saffron"
542,"Macarrão, molho bolognesa","Pasta, bolognese sauce",draft,
543,Maniçoba,Maniçoba (cassava leaf and pork stew),draft,
544,Quibebe,Quibebe (squash with carne seca),draft,TACO protocol p. 148
545,"Salada, de legumes, com maionese","Salad, vegetables, with mayonnaise",draft,
546,"Salada, de legumes, cozida no vapor","Salad, vegetables, steamed",draft,
547,"Salpicão, de frango",Salpicão (chicken salad),draft,
548,Sarapatel,Sarapatel (pork offal stew),draft,
549,Tabule,Tabbouleh,draft,
550,Tacacá,Tacacá (tucupi soup with shrimp and jambu),draft,
551,"Tapioca, com manteiga","Tapioca crepe, with butter",draft,
552,"Tucupi, com pimenta-de-cheiro","Tucupi (cassava broth), with pimenta-de-cheiro",draft,
553,Vaca atolada,Vaca atolada (beef ribs with cassava),draft,
554,Vatapá,"Vatapá (dried shrimp, nuts, coconut milk and palm oil)",draft,"TACO protocol p. 154: thickened with wheat flour, no bread"
555,Virado à paulista,"Virado à paulista (beans with corn flour, pork and egg)",draft,TACO protocol p. 154: corn flour
556,Yakisoba,Yakisoba,draft,
557,"Amendoim, grão, cru","Peanut, kernel, raw",draft,
558,"Amendoim, torrado, salgado","Peanut, roasted, salted",draft,
559,"Ervilha, em vagem","Pea, in pod",draft,
560,"Ervilha, enlatada, drenada","Pea, canned, drained",draft,
561,"Feijão, carioca, cozido","Bean, carioca, cooked",draft,
562,"Feijão, carioca, cru","Bean, carioca, raw",draft,
563,"Feijão, fradinho, cozido","Bean, black-eyed pea (fradinho), cooked",draft,
564,"Feijão, fradinho, cru","Bean, black-eyed pea (fradinho), raw",draft,
565,"Feijão, jalo, cozido","Bean, jalo (yellow), cooked",draft,
566,"Feijão, jalo, cru","Bean, jalo (yellow), raw",draft,
567,"Feijão, preto, cozido","Bean, black, cooked",draft,
568,"Feijão, preto, cru","Bean, black, raw",draft,
569,"Feijão, rajado, cozido","Bean, rajado (speckled), cooked",draft,
570,"Feijão, rajado, cru","Bean, rajado (speckled), raw",draft,
571,"Feijão, rosinha, cozido","Bean, rosinha (pink), cooked",draft,
572,"Feijão, rosinha, cru","Bean, rosinha (pink), raw",draft,
573,"Feijão, roxo, cozido","Bean, roxo (red), cooked",draft,
574,"Feijão, roxo, cru","Bean, roxo (red), raw",draft,
575,"Grão-de-bico, cru","Chickpea, raw",draft,
576,"Guandu, cru","Pigeon pea (guandu), raw",draft,
577,"Lentilha, cozida","Lentil, cooked",draft,
578,"Lentilha, crua","Lentil, raw",draft,
579,"Paçoca, amendoim",Paçoca (peanut candy),draft,
580,"Pé-de-moleque, amendoim",Pé-de-moleque (peanut brittle),draft,
581,"Soja, farinha","Soy, flour",draft,
582,"Soja, extrato solúvel, natural, fluido","Soy, drink (extrato solúvel), plain, liquid",draft,
583,"Soja, extrato solúvel, pó","Soy, drink (extrato solúvel), powder",draft,
584,"Soja, queijo (tofu)","Soy, tofu",draft,
585,"Tremoço, cru","Lupin (tremoço), raw",draft,
586,"Tremoço, em conserva","Lupin (tremoço), pickled",draft,
587,"Amêndoa, torrada, salgada","Almond, roasted, salted",draft,
588,"Castanha-de-caju, torrada, salgada","Cashew nut, roasted, salted",draft,
589,"Castanha-do-Brasil, crua","Brazil nut, raw",draft,
590,"Coco, cru","Coconut, raw",draft,
591,"Coco, verde, cru","Coconut, green, raw",draft,
592,"Farinha, de mesocarpo de babaçu, crua","Flour, babassu mesocarp, raw",draft,
593,"Gergelim, semente","Sesame, seed",draft,
594,"Linhaça, semente",Flaxseed,draft,
595,"Pinhão, cozido","Pinhão (Araucaria seed), cooked",draft,
596,"Pupunha, cozida","Pupunha (peach palm fruit), cooked",draft,
597,"Noz, crua","Walnut, raw",draft,
