# release: http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl
# source: https://raw.githubusercontent.com/FoodOntology/foodon/cd73540243a84bcd511a500d9a497d12d7dc02f6/foodon.owl
# sha256: b897bf64c1b265c422db9ee01e1235c10c0b809e7f02326ef810a52068347edf
class	label
FOODON_00005281	farro kernel (raw)
FOODON_00005282	catjang pea (mature)
FOODON_00005283	blackeyed pea (mature)
FOODON_00005284	lima bean (mature)
FOODON_00005285	baby lima bean (mature)
FOODON_00005286	moth bean (mature)
FOODON_00005287	black gram bean (mature)
FOODON_00005288	black gram bean (raw, mature)
FOODON_00005289	cranberry bean (mature)
FOODON_00005290	cranberry bean (raw, mature)
FOODON_00005291	split pea (mature)
FOODON_00005292	hyacinth bean (immature)
FOODON_00005293	hyacinth bean (raw, immature)
FOODON_00005294	broad bean (immature)
FOODON_00005295	broad bean (raw, immature)
FOODON_00005296	lima bean (immature)
FOODON_00005297	winged bean (immature)
FOODON_00005298	pigeon pea (immature)
FOODON_00005299	baby lima bean (immature)
FOODON_00005300	pinto bean (immature)
FOODON_00005301	cowpea (immature)
FOODON_00005302	tomato (sun-dried)
FOODON_00005303	chili pepper (sun-dried)
FOODON_00005304	breadnut seed (raw)
FOODON_00005305	rose apple
FOODON_00005306	rose apple (raw)
FOODON_00005307	sourdock leaf
FOODON_00005308	white currant (raw)
FOODON_00005309	medium-grain white rice
FOODON_00005310	gooseberry (raw)
FOODON_00005311	goji berry (dried)
FOODON_00005312	jambolan
FOODON_00005313	jambolan (raw)
FOODON_00005314	lychee (dried)
FOODON_00005315	purple passion fruit (raw)
FOODON_00005316	persimmon (dried)
FOODON_00005317	mamey sapote
FOODON_00005318	mamey sapote (raw)
FOODON_00005319	pineapple guava
FOODON_00005320	pineapple guava (raw)
FOODON_00005321	ginkgo nut (dried)
FOODON_00005322	pili nut (dried)
FOODON_00005323	pine nut kernel (dried)
FOODON_00005324	bamboo shoot
FOODON_00005325	chrysanthemum leaf
FOODON_00005326	chrysanthemum leaf (raw)
FOODON_00005327	moringa leaf
FOODON_00005328	moringa leaf (raw)
FOODON_00005329	piece(s) of mushroom fruitbody
FOODON_00005330	jelly ear
FOODON_00005331	jelly ear (dried)
FOODON_00005332	shiitake mushroom (dried)
FOODON_00005333	cloud ear mushroom
FOODON_00005334	cloud ear mushroom (dried)
FOODON_00005335	piece(s) of onion
FOODON_00005336	pea (raw)
FOODON_00005337	napa cabbage head
FOODON_00005338	napa cabbage head (raw)
FOODON_00005339	napa cabbage leaf
FOODON_00005340	gai lan (raw)
FOODON_00005341	chicken egg (cooked)
FOODON_00005343	dandelion greens bunch
FOODON_00005344	amaranth leaf (raw)
FOODON_00005345	Zespri SunGold kiwifruit
FOODON_00005346	Zespri SunGold kiwifruit (raw)
FOODON_00005347	buckwheat groat
FOODON_00005348	butternut
FOODON_00005349	butternut (dried)
FOODON_00005350	burdock root
FOODON_00005351	burdock root (raw)
FOODON_00005352	escarole leaf
FOODON_00005353	laver (raw)
FOODON_00005354	butternut squash
FOODON_00005355	broccoli spear
FOODON_00005356	nance
FOODON_00005357	yellow plantain
FOODON_00005358	water morning glory leaf
FOODON_00005359	water morning glory leaf (raw)
FOODON_00005360	tree fern leaf
FOODON_00005361	chinese water chestnut
FOODON_00005362	wax gourd
FOODON_00005363	pasilla pepper
FOODON_00005364	Mexican tea leaf
FOODON_00005365	hedge mustard seed
FOODON_00005366	wild blackberry
FOODON_00005367	watermelon seed
FOODON_00005368	common cottongrass root
FOODON_00005369	common cottongrass seed
FOODON_00005370	Muscat wine
FOODON_00005371	red Burgundy wine
FOODON_00005372	Muller Thurgau
FOODON_00005373	Petite Sirah wine
FOODON_00005374	Cabernet Franc wine
FOODON_00005375	late harvest wine
FOODON_00005376	beef bolar blade
FOODON_00005377	beef bolar blade (raw)
FOODON_00005378	beef oyster blade
FOODON_00005379	beef oyster blade (raw)
FOODON_00005380	beef sweetbread
FOODON_00005381	beef sweetbread (raw)
FOODON_00005382	lamb shoulder square cut
FOODON_00005383	lamb square-cut shoulder chop
FOODON_00005384	lamb square-cut shoulder chop (raw)
FOODON_00005385	lamb neck chop
FOODON_00005386	lamb neck chop (raw)
FOODON_00005387	lamb shoulder roast (boneless)
FOODON_00005388	lamb netted shoulder
FOODON_00005389	lamb netted shoulder (raw)
FOODON_00005390	lamb tunnel boned leg
FOODON_00005391	lamb rib chop
FOODON_00005392	lamb rib chop (raw)
FOODON_00005393	rack of lamb
FOODON_00005394	lamb breast (raw)
FOODON_00005395	lamb flap
FOODON_00005396	lamb flap (raw)
FOODON_00005397	lamb loin saddle
FOODON_00005398	lamb loin saddle (raw)
FOODON_00005399	lamb loin roast
FOODON_00005400	lamb loin roast (raw)
FOODON_00005401	lamb chump
FOODON_00005402	lamb chump (raw)
FOODON_00005403	lamb sweetbread
FOODON_00005404	lamb sweetbread (raw)
FOODON_00005405	lamb hind shank
FOODON_00005406	pork loin center roast
FOODON_00005407	pork shoulder blade roast (boneless)
FOODON_00005408	pork hock
FOODON_00005409	pork center cut-chop
FOODON_00005410	pork center cut-chop (boneless)
FOODON_00005411	pork blade roast
FOODON_00005412	pork backfat
FOODON_00005413	pork backfat (raw)
FOODON_00005414	veal shank
FOODON_00005415	veal shank (raw)
FOODON_00005416	veal shoulder blade chop
FOODON_00005417	veal shoulder blade chop (raw)
FOODON_00005418	emu top loin
FOODON_00005419	ostrich top loin
FOODON_00005420	ostrich top loin (raw)
FOODON_00005421	elk loin
FOODON_00005422	elk round
FOODON_00005423	elk tenderloin
FOODON_00005424	reindeer round
FOODON_00005425	reindeer rump
FOODON_00005426	reindeer shoulder
FOODON_00005427	reindeer hind quarter
FOODON_00005428	deer loin
FOODON_00005429	deer tenderloin
FOODON_00005430	deer tenderloin (raw)
FOODON_00005431	deer round
FOODON_00005432	deer top round
FOODON_00005433	deer shoulder
FOODON_00005434	deer shoulder (raw)
FOODON_00005435	deer shoulder clod
FOODON_00005436	deer shoulder clod (raw)
FOODON_00005437	gluten-free pasta
FOODON_00005438	tofu (raw)
FOODON_00005439	acerola juice (unpasteurized)
FOODON_00005440	purple passion fruit juice (unpasteurized)
FOODON_00005441	pomegranate juice
FOODON_00005442	breadcrumbs
FOODON_00005443	green bean puree
FOODON_00005444	green tea (decaffeinated)
FOODON_00005445	moose stew
FOODON_00005446	acorn stew
FOODON_00005447	corn stew
FOODON_00005448	tennis bread
FOODON_00005449	coconut water
FOODON_00005450	pork fat
FOODON_00005451	room temperature
FOODON_00005452	ISO 1 reference temperature
FOODON_00005453	purple passion fruit pulp
FOODON_00005454	beluga oil
FOODON_00005455	passion fruit food product
FOODON_00005456	bearded seal oil
FOODON_00005457	spotted seal oil
FOODON_00005458	walrus oil
FOODON_00005459	bowhead whale oil
FOODON_00005460	herring oil
FOODON_00005461	cocoa butter oil
FOODON_00005462	tangerine juice (unpasteurized)
FOODON_00005463	apple juice (unpasteurized)
FOODON_00005464	lemon juice (unpasteurized)
FOODON_00005465	lime juice (unpasteurized)
FOODON_00005466	fungus mycelium
FOODON_00005467	purple passion fruit juice
FOODON_00005468	pink grapefruit juice (unpasteurized)
FOODON_00005469	yellow passion fruit juice (unpasterized)
FOODON_00005470	coconut milk (unpasteurized)
FOODON_00005471	coconut cream (unpasteurized)
FOODON_00005472	guanabana nectar
FOODON_00005473	tamarind nectar
FOODON_00005474	skim milk (without added vitamin a and d)
FOODON_00005475	nonfat dry milk (instant, without added vitamin A and D)
FOODON_00005476	cow milk (reduced fat, without added Vitamin A and Vitamin D)
FOODON_00005477	lowfat cow milk (1% fat,  without added Vitamin A and Vitamin D)
FOODON_00005478	cow whole milk
FOODON_00005479	cow whole milk (without additives)
FOODON_00005480	cow whole milk (without Vitamin D)
FOODON_00005481	cow whole milk 3.5% fat (without added Vitamin A and Vitamin D)
FOODON_00005482	evaporated milk (reduced fat, Vitamin A and Vitamin D fortified)
FOODON_00005483	cow milk (reduced fat, Without added Vitamin A, nonfat milk solids added)
FOODON_00005484	skim milk (calcium-fortified)
FOODON_00005485	evaporated milk (with added vitamin A)
FOODON_00005486	tofu (fermented)
FOODON_00005487	beef tallow
FOODON_00005488	pea (mashed)
FOODON_00005489	prune puree
FOODON_00005490	carrot puree
FOODON_00005491	banana puree
FOODON_00005492	squash puree
FOODON_00005493	sweet potato puree
FOODON_00005494	beet puree
FOODON_00005495	clarified butter
FOODON_00005496	apple juice (calcium-fortified)
FOODON_00005497	orange juice (without pulp)
FOODON_00005498	corn pasta
FOODON_00005499	reference freezing temperature for food
FOODON_00005500	sesame flour
FOODON_00005501	mammal material
FOODON_00005502	vertebrate material
FOODON_00005503	balsamic vinegar
FOODON_00005504	popcorn (air-popped)
FOODON_00005505	brown rice cereal
FOODON_00005506	brown rice cereal (dry, instant)
FOODON_00005507	corned beef
FOODON_00005508	beef bologna
FOODON_00005509	chicken bologna
FOODON_00005510	pork bologna
FOODON_00005511	turkey bologna
FOODON_00005512	beef macaroni dish
FOODON_00005513	guava sauce
FOODON_00005514	sugar (powdered)
FOODON_00005515	green tea (steeped)
FOODON_00005516	hibiscus tea (steeped)
FOODON_00005517	oolong tea (steeped)
FOODON_00005518	black tea (decaffeinated)
FOODON_00005519	lemon tea (dry, instant)
FOODON_00005520	soybean flour (full fat)
FOODON_00005521	soybean flour (low fat)
FOODON_00005522	invertebrate material
FOODON_00005523	acorn flour
FOODON_00005524	whey protein isolate
FOODON_00005525	chicken bratwurst
FOODON_00005526	pork bratwurst
FOODON_00005527	veal bratwurst
FOODON_00005528	whole wheat pasta
FOODON_00005529	whole grain white corn flour
FOODON_00005530	whole grain white cornmeal
FOODON_00005531	turkey bacon
FOODON_00005532	couscous
FOODON_00005533	turkey sausage (raw)
FOODON_00005534	beef salami
FOODON_00005535	turkey salami
FOODON_00005536	pork salami
FOODON_00005537	chicken patty
FOODON_00005538	salmon nugget
FOODON_00005539	soft tofu
FOODON_00005540	firm tofu
FOODON_00005541	silken tofu
FOODON_00005542	silken soft tofu
FOODON_00005543	silken firm tofu
FOODON_00005544	super firm tofu
FOODON_00005545	silken extra firm tofu
FOODON_00005546	silken lite firm tofu
FOODON_00005547	silken lite extra firm tofu
FOODON_00005548	Carob flour
FOODON_00005549	baobab powder
FOODON_00005550	tart cherry juice
FOODON_00005552	raspberry puree
FOODON_00005553	oat bran cereal
FOODON_00005554	turkey pastrami
FOODON_00005555	rice noodle
FOODON_00005556	whole grain cornmeal
FOODON_00005557	whole grain yellow cornmeal
FOODON_00005558	wheat germ cereal
FOODON_00005559	whole wheat cereal
FOODON_00005560	pork sausage link
FOODON_00005561	pork sausage patty
FOODON_00005562	cream of rice
FOODON_00005563	cream of wheat
FOODON_00005564	puffed rice cereal (fortified)
FOODON_00005565	puffed wheat cereal (fortified)
FOODON_00005566	meat doneness
FOODON_00005567	cellophane noodle
FOODON_00005568	quick oats
FOODON_00005569	quick oats (with iron)
FOODON_00005570	lebanon bologna
FOODON_00005571	white hominy grits
FOODON_00005572	pork liver cheese
FOODON_00005573	cereal grain beverage
FOODON_00005574	cereal grain-based coffee substitute
FOODON_00005575	espresso
FOODON_00005576	espresso (decaffeinated)
FOODON_00005577	soy protein isolate (potassium fortified)
FOODON_00005578	soy protein concentrate
FOODON_00005579	acid whey
FOODON_00005580	sweet whey
FOODON_00005581	non-carbonated water (bottled)
FOODON_00005582	butter (light)
FOODON_00005583	Kanpyo
FOODON_00005584	pork head cheese
FOODON_00005585	liverwurst spread
FOODON_00005586	peanut flour
FOODON_00005587	malt syrup
FOODON_00005588	pork loaf
FOODON_00005589	soy-based protein powder
FOODON_00005590	whey-based protein powder
FOODON_00005591	ham
FOODON_00005592	ham patty
FOODON_00005593	ham steak
FOODON_00005594	pork breakfast strip
FOODON_00005595	chilchen
FOODON_00005596	yellow passion fruit juice
FOODON_00005597	soybean (cooked)
FOODON_00005598	granadilla food product
FOODON_00005599	granadilla fruit
FOODON_00005600	granadilla fruit (raw)
FOODON_00005601	granadilla peel
FOODON_00005602	granadilla peel (raw)
FOODON_00005603	granadilla pulp
FOODON_00005604	granadilla pulp (raw)
FOODON_00005605	granadilla seed
FOODON_00005606	granadilla seed (raw)
FOODON_00005607	tamarillo peel
FOODON_00005608	tamarillo peel (raw)
FOODON_00005609	tamarillo pulp
FOODON_00005610	tamarillo pulp (raw)
FOODON_00005611	tamarillo seed
FOODON_00005612	tamarillo seed (raw)
FOODON_00005613	pumpkin seed (raw)
FOODON_00005614	pumpkin seed (cooked)
FOODON_00005615	well done meat
FOODON_00005616	green lentil
FOODON_00005617	green lentil (dried)
FOODON_00005618	green lentil (cooked)
FOODON_00005619	kidney bean (cooked)
FOODON_00005620	sorghum kernel (cooked)
FOODON_00005621	rare meat
FOODON_00005622	cornmeal (cooked)
FOODON_00005623	wild rice kernel (cooked)
FOODON_00005624	agave leaf
FOODON_00005625	agave leaf (raw)
FOODON_00005626	custard apple fruit (raw)
FOODON_00005627	soursop pulp
FOODON_00005628	soursop pulp (raw)
FOODON_00005629	soursop peel
FOODON_00005630	soursop peel (raw)
FOODON_00005631	soursop seed
FOODON_00005632	soursop seed (raw)
FOODON_00005633	south american sapote food product
FOODON_00005634	south american sapote
FOODON_00005635	south american sapote (raw)
FOODON_00005636	south american sapote pulp
FOODON_00005637	south american sapote pulp (raw)
FOODON_00005638	south american sapote peel
FOODON_00005639	south american sapote peel (raw)
FOODON_00005640	south american sapote seed
FOODON_00005641	south american sapote seed (raw)
FOODON_00005642	fragrant grenadilla food product
FOODON_00005643	fragrant grenadilla
FOODON_00005644	fragrant grenadilla (raw)
FOODON_00005645	fragrant grenadilla pulp
FOODON_00005646	fragrant grenadilla pulp (raw)
FOODON_00005647	fragrant grenadilla peel
FOODON_00005648	fragrant grenadilla peel (raw)
FOODON_00005649	fragrant grenadilla seed
FOODON_00005650	fragrant grenadilla seed (raw)
FOODON_00005651	gulupa food product
FOODON_00005652	gulupa fruit
FOODON_00005653	gulupa fruit (raw)
FOODON_00005654	gulupa pulp
FOODON_00005655	gulupa pulp (raw)
FOODON_00005656	gulupa peel
FOODON_00005657	gulupa peel (raw)
FOODON_00005658	gulupa seed
FOODON_00005659	gulupa seed (raw)
FOODON_00005660	badea food product
FOODON_00005661	badea
FOODON_00005662	badea (raw)
FOODON_00005663	badea pulp
FOODON_00005664	badea pulp (raw)
FOODON_00005665	badea peel
FOODON_00005666	badea peel (raw)
FOODON_00005667	badea seed
FOODON_00005668	badea seed (raw)
FOODON_00005669	medium-rare meat
FOODON_00005670	shrimp species
FOODON_00005671	medium done meat
FOODON_00005672	extra rare meat
FOODON_00005673	medium well done
FOODON_00005674	bony fish material
FOODON_00005675	cartilaginous fish material
FOODON_00005676	jawless fish material
FOODON_00005677	fish by aquatic environment
FOODON_00005678	fish by age characteristic
FOODON_00005679	perciform fish material
FOODON_00005680	bovid material
FOODON_00005681	marine mammal material
FOODON_00005682	terrestrial invertebrate material
FOODON_00005683	aquatic invertebrate material
FOODON_00005684	deer family material
FOODON_00005685	equine material
FOODON_00005686	amphibian material
FOODON_00005687	reptile material
FOODON_00005688	duck family
FOODON_00005689	swine material
FOODON_00005690	tepary bean (cooked)
FOODON_00005691	lima bean (cooked)
FOODON_00005692	passion fruit peel
FOODON_00005693	passion fruit peel (raw)
FOODON_00005694	passion fruit seed
FOODON_00005695	passion fruit seed (raw)
FOODON_00005696	borojó peel
FOODON_00005697	borojó peel (raw)
FOODON_00005698	borojó pulp
FOODON_00005699	borojó pulp (raw)
FOODON_00005700	borojó seed
FOODON_00005701	borojó seed (raw)
FOODON_00005702	mollusc material
FOODON_00005703	echinoderm material
FOODON_00005704	crustacean material
FOODON_00005705	bivalve material
FOODON_00005706	gastropod material
FOODON_00005707	cephalopod material
FOODON_00005708	decapod material
FOODON_00005709	food heating
FOODON_00005710	clam material
FOODON_00005711	oyster material
FOODON_00005712	solid form (sensu food)
FOODON_00005713	archaeogastropod material
FOODON_00005714	mesogastropod material
FOODON_00005715	neogastropod material
FOODON_00005716	wholesale food
FOODON_00005717	retail food
FOODON_00005718	piece of pineapple
FOODON_00005719	animal harvesting
FOODON_00005720	food grading
FOODON_00005721	food storage
FOODON_00005722	food aquisition
FOODON_00005723	food transportation
FOODON_00005724	salmoniform fish material
FOODON_00005725	osmeriform fish material
FOODON_00005726	gadiform fish material
FOODON_00005727	clupeiform fish material
FOODON_00005728	appropriate food role
FOODON_00005729	clam (shell on)
FOODON_00005730	sweet pepper
FOODON_00005731	spanish olive
FOODON_00005732	sunflower seed butter
FOODON_00005733	coconut material
FOODON_00005734	piece(s) of coconut meat
FOODON_00005735	nut material
FOODON_00005736	orange peel
FOODON_00005737	sea bass fillet
FOODON_00005738	red meat
FOODON_00005739	food (pitted)
FOODON_00005740	prune (pitted)
FOODON_00005741	field pea (dried)
FOODON_00005742	currant
FOODON_00005743	wild harvested organism material
FOODON_00005744	microbial food culture
FOODON_00005745	bacterial food culture
FOODON_00005746	wild harvested
FOODON_00005747	cream (liquid)
FOODON_00005748	plant substance
FOODON_00005749	plant
FOODON_00005750	plant (raw)
FOODON_00005751	piece of plant (raw)
FOODON_00005752	piece(s) of plant (raw)
FOODON_00005753	piece(s) of plant leaf
FOODON_00005754	piece of plant leaf
FOODON_00005755	piece of plant leaf (raw)
FOODON_00005756	piece(s) of plant leaf (raw)
FOODON_00005757	plant leaf
FOODON_00005758	plant leaf (raw)
FOODON_00005759	plant leaf (fresh)
FOODON_00005760	plant leaf (dried)
FOODON_00005761	plant leaf (ground)
FOODON_00005762	plant seed
FOODON_00005763	plant seed (raw)
FOODON_00005764	plant grain
FOODON_00005765	plant grain (raw)
FOODON_00005766	piece of plant seed
FOODON_00005767	piece of plant seed (raw)
FOODON_00005768	piece of plant grain
FOODON_00005769	piece of plant grain (raw)
FOODON_00005770	plant grain husk
FOODON_00005771	plant grain husk (raw)
FOODON_00005772	plant stem
FOODON_00005773	plant stem (raw)
FOODON_00005774	plant root
FOODON_00005775	plant root (raw)
FOODON_00005776	plant tuber
FOODON_00005777	plant tuber (raw)
FOODON_00005778	plant stalk
FOODON_00005779	plant stalk (raw)
FOODON_00005780	plant scape
FOODON_00005781	plant scape (raw)
FOODON_00005782	plant head
FOODON_00005783	plant head (raw)
FOODON_00005784	plant bulb
FOODON_00005785	plant bulb (raw)
FOODON_00005786	plant flower
FOODON_00005787	plant flower (raw)
FOODON_00005788	malt
FOODON_00005789	vanilla seed
FOODON_00005790	glucose syrup
FOODON_00005791	corn starch
FOODON_00005792	roselle sepal
FOODON_00005793	oat malt
FOODON_00005794	hibiscus tea
FOODON_00005795	millet malt
FOODON_00005796	rice malt
FOODON_00005797	spelt malt
FOODON_00005798	artificial
FOODON_00005799	emulsifier
FOODON_00005800	plant-based yogurt
FOODON_00005801	carrot root (raw, peeled)
FOODON_00005802	clam (shell off)
FOODON_00005803	clam (shell off, raw)
FOODON_00005804	pastry
FOODON_00005805	pastry dough
FOODON_00005806	piece(s) of plant seed
FOODON_00005807	piece(s) of plant seed (raw)
FOODON_00005808	piece of plant seed (dried)
FOODON_00005809	piece of plant leaf (dried)
FOODON_00005810	piece of plant leaf (fresh)
FOODON_00005811	piece(s) of plant leaf (dried)
FOODON_00005812	piece(s) of plant leaf (fresh)
FOODON_00005813	piece of plant stem
FOODON_00005814	piece of plant stem (raw)
FOODON_00005815	piece(s) of plant stem
FOODON_00005816	piece(s) of plant stem (raw)
FOODON_00005817	piece of plant head
FOODON_00005818	piece of plant head (raw)
FOODON_00005819	plant pulp
FOODON_00005820	plant pulp (raw)
FOODON_00005821	piece of plant bulb
FOODON_00005822	piece of plant bulb (raw)
FOODON_00005824	plant bark
FOODON_00005825	plant bark (raw)
FOODON_00005826	plant flower thread
FOODON_00005827	plant flower thread (raw)
FOODON_02000000	beef round
FOODON_02000001	beef round (raw)
FOODON_02000002	beef bottom round
FOODON_02000003	beef bottom round (raw)
FOODON_02000004	beef bottom round steak
FOODON_02000005	beef bottom round steak (raw)
FOODON_02000006	beef bottom round steak (boneless)
FOODON_02000007	beef bottom round steak (boneless, raw)
FOODON_02000008	beef bottom round roast
FOODON_02000009	beef bottom round roast (raw)
FOODON_02000010	beef bottom round roast (boneless)
FOODON_02000011	beef bottom round roast (boneless, raw)
FOODON_02000012	beef top round
FOODON_02000013	beef top round (raw)
FOODON_02000014	beef top round steak
FOODON_02000015	beef top round steak (raw)
FOODON_02000016	beef top round steak (boneless)
FOODON_02000017	beef top round steak (boneless, raw)
FOODON_02000018	beef top round steak (cap off)
FOODON_02000019	beef top round steak (cap off, raw)
FOODON_02000020	beef top round steak (cap off, boneless, raw)
FOODON_02000021	beef top round roast
FOODON_02000022	beef top round roast (raw)
FOODON_02000023	beef top round roast (boneless)
FOODON_02000024	beef top round roast (boneless, raw)
FOODON_02000025	beef sirloin tip
FOODON_02000026	beef sirloin tip (raw)
FOODON_02000027	beef sirloin tip roast
FOODON_02000028	beef sirloin tip roast (raw)
FOODON_02000029	beef sirloin tip steak
FOODON_02000030	beef sirloin tip steak (raw)
FOODON_02000031	beef sirloin tip side roast
FOODON_02000032	beef sirloin tip side roast (raw)
FOODON_02000033	beef sirloin tip side steak
FOODON_02000034	beef sirloin tip side steak (raw)
FOODON_02000035	beef sirloin tip center roast
FOODON_02000036	beef sirloin tip center roast (raw)
FOODON_02000037	beef sirloin tip center steak
FOODON_02000038	beef sirloin tip center steak (raw)
FOODON_02000039	beef eye of round
FOODON_02000040	beef eye of round (raw)
FOODON_02000041	beef eye of round roast
FOODON_02000042	beef eye of round roast (raw)
FOODON_02000043	beef eye of round steak
FOODON_02000044	beef eye of round steak (raw)
FOODON_02000045	beef chuck
FOODON_02000046	beef chuck tender
FOODON_02000047	beef chuck tender (raw)
FOODON_02000048	beef chuck tender steak
FOODON_02000049	beef chuck tender steak (raw)
FOODON_02000050	beef chuck tender roast
FOODON_02000051	beef chuck tender roast (raw)
FOODON_02000052	beef chuck roll
FOODON_02000053	beef chuck roll (raw)
FOODON_02000054	beef chuck eye roll
FOODON_02000055	beef chuck eye roll (raw)
FOODON_02000056	beef chuck eye roast
FOODON_02000057	beef chuck eye roast (raw)
FOODON_02000058	beef chuck eye steak
FOODON_02000059	beef chuck eye steak (raw)
FOODON_02000060	beef country-style rib
FOODON_02000061	beef country-style rib (raw)
FOODON_02000062	beef under blade
FOODON_02000063	beef sierra steak
FOODON_02000064	beef sierra steak (raw)
FOODON_02000065	beef denver steak
FOODON_02000066	beef denver steak (raw)
FOODON_02000067	beef denver roast
FOODON_02000068	beef denver roast (raw)
FOODON_02000069	beef shoulder clod
FOODON_02000070	beef shoulder clod (raw)
FOODON_02000071	beef shoulder clod arm roast
FOODON_02000072	beef shoulder clod arm roast (raw)
FOODON_02000073	beef shoulder steak
FOODON_02000074	beef shoulder steak (raw)
FOODON_02000075	beef shoulder roast
FOODON_02000076	beef shoulder roast (raw)
FOODON_02000077	beef ranch steak
FOODON_02000078	beef ranch steak (raw)
FOODON_02000079	beef shoulder petite tender
FOODON_02000080	beef shoulder petite tender (raw)
FOODON_02000081	beef shoulder petite tender medallion
FOODON_02000082	beef shoulder petite tender medallion (raw)
FOODON_02000083	beef top blade
FOODON_02000084	beef top blade (raw)
FOODON_02000085	beef top blade steak
FOODON_02000086	beef top blade steak (raw)
FOODON_02000087	beef flat iron steak
FOODON_02000088	beef flat iron steak (raw)
FOODON_02000089	beef chuck short rib
FOODON_02000090	beef chuck short rib (raw)
FOODON_02000091	beef chuck short rib (boneless)
FOODON_02000092	beef chuck short rib (boneless, raw)
FOODON_02000093	beef square cut chuck
FOODON_02000094	beef square cut chuck (raw)
FOODON_02000095	beef 7-bone chuck steak
FOODON_02000096	beef 7-bone chuck steak (raw)
FOODON_02000097	beef 7-bone chuck roast
FOODON_02000098	beef 7-bone chuck roast (raw)
FOODON_02000099	beef blade chuck steak
FOODON_02000100	beef blade chuck steak (raw)
FOODON_02000101	beef blade chuck roast
FOODON_02000102	beef blade chuck roast (raw)
FOODON_02000103	beef chuck roast
FOODON_02000104	beef chuck roast (raw)
FOODON_02000105	beef chuck steak
FOODON_02000106	beef chuck steak (raw)
FOODON_02000107	beef cross-rib roast
FOODON_02000108	beef cross-rib roast (raw)
FOODON_02000109	beef chuck arm steak
FOODON_02000110	beef chuck arm steak (raw)
FOODON_02000111	beef chuck arm roast
FOODON_02000112	beef chuck arm roast (raw)
FOODON_02000113	beef chuck neck roast
FOODON_02000114	beef chuck neck roast (raw)
FOODON_02000115	beef chuck flap/edge roast
FOODON_02000116	beef chuck flap/edge roast (raw)
FOODON_02000117	beef loin (raw)
FOODON_02000118	beef short loin
FOODON_02000119	beef short loin (raw)
FOODON_02000120	beef T-bone steak (raw)
FOODON_02000121	beef strip loin (bone-in)
FOODON_02000122	beef strip loin (bone-in, raw)
FOODON_02000123	beef strip loin (boneless)
FOODON_02000124	beef strip loin (boneless, raw)
FOODON_02000125	beef strip roast (boneless)
FOODON_02000126	beef strip roast (boneless, raw)
FOODON_02000127	beef strip steak (boneless)
FOODON_02000128	beef strip steak (boneless, raw)
FOODON_02000129	beef strip steak (bone-in)
FOODON_02000130	beef strip steak (bone-in, raw)
FOODON_02000131	beef strip petite roast
FOODON_02000132	beef strip petite roast (raw)
FOODON_02000133	beef strip fillet
FOODON_02000134	beef strip fillet (raw)
FOODON_02000135	beef tenderloin (bone-in)
FOODON_02000136	beef tenderloin (bone-in, raw)
FOODON_02000137	beef tenderloin steak (bone-in)
FOODON_02000138	beef tenderloin steak (bone-in, raw)
FOODON_02000139	beef tenderloin (boneless)
FOODON_02000140	beef tenderloin (boneless, raw)
FOODON_02000141	beef tenderloin roast
FOODON_02000142	beef tenderloin roast (raw)
FOODON_02000143	beef tenderloin steak
FOODON_02000144	beef tenderloin steak (raw)
FOODON_02000145	beef sirloin
FOODON_02000146	beef sirloin (raw)
FOODON_02000147	beef top sirloin butt
FOODON_02000148	beef top sirloin butt (raw)
FOODON_02000149	beef top sirloin steak
FOODON_02000150	beef top sirloin steak (raw)
FOODON_02000151	beef top sirloin roast
FOODON_02000152	beef top sirloin roast (raw)
FOODON_02000153	beef top sirloin petite roast
FOODON_02000154	beef top sirloin petite roast (raw)
FOODON_02000155	beef top sirloin fillet
FOODON_02000156	beef top sirloin fillet (raw)
FOODON_02000157	beef culotte steak
FOODON_02000158	beef culotte steak (raw)
FOODON_02000159	beef culotte roast
FOODON_02000160	beef culotte roast (raw)
FOODON_02000161	beef bottom sirloin butt
FOODON_02000162	beef bottom sirloin butt (raw)
FOODON_02000163	beef tri-tip roast
FOODON_02000164	beef tri-tip roast (raw)
FOODON_02000165	beef tri-tip steak
FOODON_02000166	beef tri-tip steak (raw)
FOODON_02000167	beef petite sirloin steak
FOODON_02000168	beef petite sirloin steak (raw)
FOODON_02000169	beef petite sirloin roast
FOODON_02000170	beef petite sirloin roast (raw)
FOODON_02000171	beef sirloin bavette flap
FOODON_02000172	beef sirloin bavette flap (raw)
FOODON_02000173	beef sirloin bavette steak
FOODON_02000174	beef sirloin bavette steak (raw)
FOODON_02000175	beef flank
FOODON_02000176	beef flank (raw)
FOODON_02000177	beef flank steak
FOODON_02000178	beef flank steak (raw)
FOODON_02000179	beef short plate
FOODON_02000180	beef short plate (raw)
FOODON_02000181	beef inside skirt steak
FOODON_02000182	beef inside skirt steak (raw)
FOODON_02000183	beef outside skirt steak
FOODON_02000184	beef outside skirt steak (raw)
FOODON_02000185	beef hanger steak
FOODON_02000186	beef hanger steak (raw)
FOODON_02000187	beef plate short rib
FOODON_02000188	beef plate short rib (raw)
FOODON_02000189	beef brisket
FOODON_02000190	beef brisket (raw)
FOODON_02000191	beef brisket flat half
FOODON_02000192	beef brisket flat half (raw)
FOODON_02000193	beef brisket flat half (boneless)
